sample_id,variant,method,anchor_layers,context_tokens,max_new_tokens,first_token_match,exact_match,prefix_match_tokens,token_f1,sequence_similarity,reference_continuation_ce,variant_continuation_ce,reference_text,variant_text
0,native_full,full,"8,12,15",512,16,1,1,16,1.0,1.0,0.2395170032978058,0.2395170032978058,\n0.00|玩家基础信息|玩家5520|657,\n0.00|玩家基础信息|玩家5520|657
0,output_full,full,"8,12,15",512,16,1,1,16,1.0,1.0,0.2395170032978058,0.2395170032978058,\n0.00|玩家基础信息|玩家5520|657,\n0.00|玩家基础信息|玩家5520|657
0,native_reconstructed,copy_nearest,"8,12,15",512,16,0,0,0,0.0,0.0,0.2395170032978058,5.242471694946289,\n0.00|玩家基础信息|玩家5520|657,"j, and and and and and and and }\n and and and and"
0,output_reconstructed,copy_nearest,"8,12,15",512,16,0,0,0,0.0,0.0,0.2395170032978058,5.242471694946289,\n0.00|玩家基础信息|玩家5520|657,"j, and and and and and and and }\n and and and and"
0,native_reconstructed,interp,"8,12,15",512,16,0,0,0,0.0,0.0,0.2395170032978058,9.328502655029297,\n0.00|玩家基础信息|玩家5520|657,"5 [ }\n-,-, package, is and and and, G"
0,output_reconstructed,interp,"8,12,15",512,16,0,0,0,0.0,0.0,0.2395170032978058,9.50281047821045,\n0.00|玩家基础信息|玩家5520|657,"5 [5-, G, G, án and return and }\n we return"
0,native_reconstructed,adapter,"8,12,15",512,16,0,0,0,0.1875,0.125,0.2395170032978058,4.133974075317383,\n0.00|玩家基础信息|玩家5520|657,-0-0-0-1\nThe best-selling 1-1
0,output_reconstructed,adapter,"8,12,15",512,16,1,0,1,0.0625,0.0625,0.2395170032978058,1.712472915649414,\n0.00|玩家基础信息|玩家5520|657,\n+7-7-7-7-7-7-7-
1,native_full,full,"8,12,15",512,16,1,1,16,1.0,1.0,0.23678438365459442,0.23678438365459442,\n0.00|玩家基础信息|玩家5520|657,\n0.00|玩家基础信息|玩家5520|657
1,output_full,full,"8,12,15",512,16,1,1,16,1.0,1.0,0.23678438365459442,0.23678438365459442,\n0.00|玩家基础信息|玩家5520|657,\n0.00|玩家基础信息|玩家5520|657
1,native_reconstructed,copy_nearest,"8,12,15",512,16,0,0,0,0.0625,0.0625,0.23678438365459442,5.766504764556885,\n0.00|玩家基础信息|玩家5520|657,".,, and, and, and, and and }\n and and, and"
1,output_reconstructed,copy_nearest,"8,12,15",512,16,0,0,0,0.0625,0.0625,0.23678438365459442,5.766504764556885,\n0.00|玩家基础信息|玩家5520|657,".,, and, and, and, and and }\n and and, and"
1,native_reconstructed,interp,"8,12,15",512,16,0,0,0,0.0625,0.0625,0.23678438365459442,7.199117183685303,\n0.00|玩家基础信息|玩家5520|657,"\, the packages, and, and., wedef K, the."
1,output_reconstructed,interp,"8,12,15",512,16,0,0,0,0.0625,0.0625,0.23678438365459442,8.172739028930664,\n0.00|玩家基础信息|玩家5520|657,"\, the, and, AS customers, wedef.,J, he"
1,native_reconstructed,adapter,"8,12,15",512,16,1,0,1,0.0625,0.0625,0.23678438365459442,3.0200533866882324,\n0.00|玩家基础信息|玩家5520|657,\nThe second floor of the first floor\nThe second floor of the first\n
1,output_reconstructed,adapter,"8,12,15",512,16,1,0,1,0.25,0.25,0.23678438365459442,1.7522152662277222,\n0.00|玩家基础信息|玩家5520|657,\n| 2\n| 2\n| 2\n| 2
2,native_full,full,"8,12,15",512,16,1,1,16,1.0,1.0,0.24764615297317505,0.24764615297317505,\n0.00|玩家基础信息|玩家5520|667,\n0.00|玩家基础信息|玩家5520|667
2,output_full,full,"8,12,15",512,16,1,1,16,1.0,1.0,0.24764615297317505,0.24764615297317505,\n0.00|玩家基础信息|玩家5520|667,\n0.00|玩家基础信息|玩家5520|667
2,native_reconstructed,copy_nearest,"8,12,15",512,16,0,0,0,0.0625,0.0625,0.24764615297317505,5.797494411468506,\n0.00|玩家基础信息|玩家5520|667, }\n** }\n** }\n** }\n** }\n** and }\n**. the.\n\n
2,output_reconstructed,copy_nearest,"8,12,15",512,16,0,0,0,0.0625,0.0625,0.24764615297317505,8.278502464294434,\n0.00|玩家基础信息|玩家5520|667, }\n** }\n** }\n** }\n** }\n** and }\n �. the.\n\n
2,native_reconstructed,interp,"8,12,15",512,16,0,0,0,0.0625,0.0625,0.24764615297317505,9.065462112426758,\n0.00|玩家基础信息|玩家5520|667," [ return [ returnic,-, AS,, is. the. the"
2,output_reconstructed,interp,"8,12,15",512,16,0,0,0,0.0625,0.0625,0.24764615297317505,9.065462112426758,\n0.00|玩家基础信息|玩家5520|667," [ return [ returnic,-, AS,, is. the. the"
2,native_reconstructed,adapter,"8,12,15",512,16,0,0,0,0.1875,0.125,0.24764615297317505,4.142828464508057,\n0.00|玩家基础信息|玩家5520|667,-0-0-0-1\nThe best-selling 1/1
2,output_reconstructed,adapter,"8,12,15",512,16,1,0,1,0.0625,0.0625,0.24764615297317505,1.7088786363601685,\n0.00|玩家基础信息|玩家5520|667,\n+7-7-7-7-7-7-7-
3,native_full,full,"8,12,15",512,16,1,1,16,1.0,1.0,0.24764615297317505,0.24764615297317505,\n0.00|玩家基础信息|玩家5520|667,\n0.00|玩家基础信息|玩家5520|667
3,output_full,full,"8,12,15",512,16,1,1,16,1.0,1.0,0.24764615297317505,0.24764615297317505,\n0.00|玩家基础信息|玩家5520|667,\n0.00|玩家基础信息|玩家5520|667
3,native_reconstructed,copy_nearest,"8,12,15",512,16,0,0,0,0.0625,0.0625,0.24764615297317505,5.797494411468506,\n0.00|玩家基础信息|玩家5520|667, }\n** }\n** }\n** }\n** }\n** and }\n**. the.\n\n
3,output_reconstructed,copy_nearest,"8,12,15",512,16,0,0,0,0.0625,0.0625,0.24764615297317505,8.278502464294434,\n0.00|玩家基础信息|玩家5520|667, }\n** }\n** }\n** }\n** }\n** and }\n �. the.\n\n
3,native_reconstructed,interp,"8,12,15",512,16,0,0,0,0.0625,0.0625,0.24764615297317505,9.065462112426758,\n0.00|玩家基础信息|玩家5520|667," [ return [ returnic,-, AS,, is. the. the"
3,output_reconstructed,interp,"8,12,15",512,16,0,0,0,0.0625,0.0625,0.24764615297317505,9.065462112426758,\n0.00|玩家基础信息|玩家5520|667," [ return [ returnic,-, AS,, is. the. the"
3,native_reconstructed,adapter,"8,12,15",512,16,0,0,0,0.1875,0.125,0.24764615297317505,4.142828464508057,\n0.00|玩家基础信息|玩家5520|667,-0-0-0-1\nThe best-selling 1/1
3,output_reconstructed,adapter,"8,12,15",512,16,1,0,1,0.0625,0.0625,0.24764615297317505,1.7088786363601685,\n0.00|玩家基础信息|玩家5520|667,\n+7-7-7-7-7-7-7-
